Time,Bus,MessageID,Message,MessageLength
1580765517.4673886,0,37,00000fff0000003b,8
1580765517.4675066,1,440,b80fa309000176ab,8
1580765517.4677563,0,36,01ff01b3420680a8,8
1580765517.4681103,0,550,4001100000000000,8
1580765517.4682844,1,441,b80d5ff8001ec5c1,8
1580765517.4685273,1,442,b80a5c0f02816add,8
1580765517.4692845,1,443,b8057900081ffe1f,8
1580765517.4694183,1,976,dc808080808080b7,8
1580765517.4702568,1,977,dc808080808080b8,8
1580765517.4705064,1,978,dc808080808080b9,8
1580765517.471166,1,979,dc808080808080ba,8
1580765517.4723587,0,401,b3fffa326464ff3f,8
1580765517.474286,0,865,0619000056360e55,8
1580765517.4763887,0,743,7d04000000000072,8
1580765517.4769201,0,170,1fd31fdb1fd01fe9,8
1580765517.4772847,0,37,00000fff0000003b,8
1580765517.4774115,1,296,d8c1000008d0,6
1580765517.4775374,0,180,00000000c9057e08,8
1580765517.4776626,0,552,f77a009f,4
1580765517.4777877,0,186,01b62095,4
1580765517.4782846,0,452,04021b083700c0ed,8
1580765517.4803994,0,467,00b0360f0a0000db,8
1580765517.4814053,0,882,007f7f7f7f000000,8
1580765517.4815807,0,705,080114010bc800bc,8
1580765517.4823098,0,740,b20000009d,5
1580765517.484286,0,608,0000120001ff017d,8
1580765517.4852855,0,610,002800029800002e,8
1580765517.4855204,0,643,0000000000008c,7
1580765517.4863884,0,742,fff800087fe0004e,8
1580765517.4869227,0,170,1fca1fcf1fd51fe1,8
1580765517.487284,0,37,00000fff0000003b,8
1580765517.4874105,0,544,00000026,4
1580765517.4876308,0,562,0118200f41c3,6
1580765517.4878805,0,36,01ff01b0420380a2,8
1580765517.488089,0,565,0000000a180a006b,8
1580765517.4882848,0,426,0000000000b1,6
1580765517.492689,0,466,fd30f6d8002e8084,8
1580765517.4929204,0,1020,00001e8032007090,8
1580765517.494387,0,836,000000000000004f,8
1580765517.4956944,0,464,068b10000100017c,8
1580765517.496386,0,401,b5fffa326464ff41,8
1580765517.4970217,0,170,1fbc1fc51fdb1fd2,8
1580765517.4974124,1,385,b9fff8000000003a,8
1580765517.497642,0,180,00000000cd056dfb,8
1580765517.497806,0,835,f84c63c000d9008e,8
1580765517.498047,0,552,f78500aa,4
1580765517.4981754,1,386,b96b64eb00f5d1c4,8
1580765517.4985063,1,387,b927daf520f661b2,8
1580765517.6152637,1,436,bb067d0f11018da9,8
1580765517.6154277,1,437,bb14d0050001c427,8
1580765517.6162884,1,438,bb359500001d5ebf,8
1580765517.617029,0,170,1f681f721f721f70,8
1580765517.6171694,1,440,bb0f5309088169d9,8
1580765517.6173158,0,180,00000000d50513a9,8
1580765517.6174557,1,441,bb0d53f8001ec2b5,8
1580765517.617716,0,37,00000fff0000003b,8
1580765517.6180832,0,552,f779009e,4
1580765517.6182866,1,442,bb0a2d1001018148,8
1580765517.6186056,0,550,4000100000000000,8
1580765517.6189146,0,1056,00000000ff0380ae,8
1580765517.6196332,0,452,03c71b083700c0b1,8
1580765517.6198938,0,466,fd30f736004e8003,8
1580765517.6226957,0,464,0615100001000106,8
1580765517.6242902,0,608,0000240000ff0d9a,8
1580765517.6254008,0,835,f89f63e000da0002,8
1580765517.6262867,0,740,c4000000af,5
1580765517.6270082,0,170,1f5a1f691f6c1f69,8
1580765517.6271489,0,186,01b42093,4
1580765517.627633,0,36,020001b7420880b0,8
1580765517.6279008,0,37,00000fff0000003b,8
1580765517.631298,0,871,0000,2
1580765517.636414,0,743,7d04000000000072,8
1580765517.6369395,0,170,1f5a1f5f1f661f64,8
1580765517.6372597,0,37,00000fff0000003b,8
1580765517.637562,1,352,0000081408129534,8
1580765517.6377184,0,552,f78400a9,4
1580765517.6378636,0,544,00000026,4
1580765517.638033,0,562,192f0827590a,6
1580765517.6382594,0,565,0000000a180a006b,8
1580765517.6386936,0,836,000000000000004f,8
1580765517.6391351,0,467,00b0360f070000d8,8
1580765517.6401331,0,705,08019e01b0cd00f0,8
1580765517.640468,0,401,c7fff7326464fe4f,8
1580765517.6429012,0,1020,00001e00328070a8,8
1580765517.643174,0,452,03c31b083700c0ad,8
1580765517.6442869,0,1017,9058154100000042,8
1580765517.6445692,0,608,0000280000fef989,8
1580765517.6452887,0,610,002800029800002e,8
1580765517.6455622,0,643,0000000000008c,7
1580765517.6463854,0,742,fff800087fe0004e,8
1580765517.6470103,0,170,1f591f591f621f5d,8
1580765517.6471622,1,291,010808008000bc,7
1580765517.6477287,0,36,020001b1420080a2,8
1580765517.6480086,0,37,00000fff0000003b,8
1580765517.6488376,0,812,0000000000000037,8
1580765517.6492867,1,387,bc276cf540f75158,8
1580765517.782389,0,836,000000000000004f,8
1580765517.7843719,0,608,000022fffdfeb73d,8
1580765517.7846076,0,401,d9fff9326464fe63,8
1580765517.7848208,0,452,039b1b083700c085,8
1580765517.7854886,0,835,f92363e000dd008a,8
1580765517.7857141,0,1044,0000000000001700,8
1580765517.7870376,0,170,1eed1ef31eea1eee,8
1580765517.7873075,0,544,00000026,4
1580765517.7875295,0,37,00000fff0000003b,8
1580765517.7877572,0,36,020001b5420380a9,8
1580765517.7879586,0,562,2f45303c6f89,6
1580765517.788179,0,565,0000000a180a006b,8
1580765517.7884007,0,426,0000000000b1,6
1580765517.7914445,0,830,197f1180001400,7
1580765517.7920485,0,1114,6c02000000000000,8
1580765517.7929473,0,1020,00001e80330070a8,8
1580765517.7944586,0,740,da000000c5,5
1580765517.796429,0,743,7d04000000000072,8
1580765517.7967787,0,865,061d000056360c5a,8
1580765517.7971768,0,170,1ee41eee1edf1ee7,8
1580765517.798021,0,467,00b0360f040000d5,8
1580765517.7986808,0,810,88b7,2
1580765517.7988985,0,812,0000000000000037,8
1580765517.799301,1,388,bf1e300ca0f7518e,8
1580765517.8003306,1,390,bf13ea0d60fac173,8
1580765517.8006582,1,391,bf09dc0028f761b4,8
1580765517.8013353,1,392,bf2d3249900ad062,8
1580765517.8016064,1,393,bf09dc0080f7b15e,8
1580765517.8023274,1,394,bf163c0b80faf019,8
1580765517.802524,1,395,bf05c015e0f7383c,8
1580765517.8033023,1,396,bf0cee0ba0fd4036,8
1580765517.8035233,1,397,bf1a9cf68000a122,8
1580765517.805275,1,400,bf0e0000000448b2,8
1580765517.8060782,1,577,2000100100100100,8
1580765517.8063014,1,402,bf0000000000005a,8
1580765517.807152,0,186,01b52094,4
1580765517.8075562,1,580,2000100100100100,8
1580765517.807982,1,581,2000100100100100,8
1580765517.808399,0,401,ddfff9326464ff68,8
1580765517.8086042,1,582,2000100100100100,8
1580765517.8088279,1,407,bf0a640000044819,8
1580765517.8090332,1,583,2000100100100100,8
1580765517.8093026,1,408,bfda000660fe902e,8
1580765517.8095233,1,584,2400010000000000,8
1580765517.8097768,1,409,bf0864026000406f,8
1580765517.8101606,0,466,fd30f7e4006e80d1,8
1580765517.8103745,1,410,bf22000060014025,8
1580765517.8105783,1,411,bf1c005060ff709e,8
1580765517.811302,1,412,bf14000260fde0b7,8
1580765517.811521,1,413,bf0e000260009065,8
1580765517.8123014,1,414,bf1e640060fff037,8
1580765517.8125813,1,415,bf1c000060fd6040,8
1580765517.813668,1,417,bf0009f200000165,8
1580765517.8144302,1,418,bf7938793879387d,8
1580765517.8147583,1,419,bf01fc0001fc0065,8
1580765517.8154047,1,436,bf067e100801748d,8
1580765517.8156497,1,437,bf148805000198b7,8
1580765517.8163438,1,438,bf7ffc00000ffc04,8
1580765517.816553,1,439,bf1385fa001ec1f0,8
1580765517.8170946,0,170,1ed91eda1ed41eda,8
1580765517.8179343,0,544,00000026,4
1580765517.8188372,0,870,00004110380200,7
1580765517.8191822,0,740,dc000000c7,5
1580765517.8226466,0,1649,1000000000002000,8
1580765517.824423,0,608,00001ffffdff1599,8
1580765517.826997,0,170,1ece1ed41ece1ed2,8
