Time,Buffer,Bus,MessageID,Message,MessageLength
1583178870.7801886,000040371800b5ee5d7ffc00000ffca6,1,442,5d7ffc00000ffca6,8
1583178870.7822542,0000401508004b191a6f1a6f1a6f1a6f,0,170,1a6f1a6f1a6f1a6f,8
1583178870.782509,000040170400bb1901fb20da003fffff,0,186,01fb20da,4
1583178870.7827575,0000a06c07000e1a00000000fc000000,0,869,00000000fc0000,7
1583178870.7830057,0000e08408007f1a0000000000000000,0,1063,0000000000000000,8
1583178870.7832527,0000a0040800fb1a00000000b00000dd,0,37,00000000b00000dd,8
1583178870.78387,000080040800891b020001fb41fa80e5,0,36,020001fb41fa80e5,8
1583178870.784327,0000e05c0800441d7d04000000000072,0,743,7d04000000000072,8
1583178870.7850027,0000004c0800a11e000009ffe5ffd228,0,608,000009ffe5ffd228,8
1583178870.7852588,000000251600c9f8fdbf4000002b0000,1,296,fdbf4000002b,6
1583178870.7871845,0000403a0800ac229904ffeb00070069,0,466,9904ffeb00070069,8
1583178870.788995,0000405208004026000000000200009e,0,658,000000000200009e,8
1583178870.7892482,0000406e08000627007f7f7f7f000000,0,882,007f7f7f7f000000,8
1583178870.7902443,0000805c0500f728fa000000e5000000,0,740,fa000000e5,5
1583178870.7921836,000040150800ca2c1a6f1a6f1a6f1a6f,0,170,1a6f1a6f1a6f1a6f,8
1583178870.7926426,000080160800572d00000000010000bd,0,180,00000000010000bd,8
1583178870.7928965,0000a0040800d32d00000000a00000cd,0,37,00000000a00000cd,8
1583178870.7936738,0000803808005b2f0386200838007f35,0,452,0386200838007f35,8
1583178870.793928,0000a0460800d12f000000000000003f,0,565,000000000000003f,8
1583178870.7941737,0000403506004e300000000000b10000,0,426,0000000000b1,6
1583178870.7944186,000060500700b7300000000000008c00,0,643,0000000000008c,7
1583178870.7946627,0000806508002a310808000000000047,0,812,0808000000000047,8
1583178870.794906,0000c05c0800a431fff800087fe0004e,0,742,fff800087fe0004e,8
1583178870.7953393,0000206e0800bd320000ffe500000000,0,881,0000ffe500000000,8
1583178870.8021867,00004015080022401a6f1a6f1a6f1a6f,0,170,1a6f1a6f1a6f1a6f,8
1583178870.8024483,0000806808009240000000000000004f,0,836,000000000000004f,8
1583178870.8027008,0000800408000f41020001fb41fa80e5,0,36,020001fb41fa80e5,8
1583178870.8029966,0000a0040800894100000000b00000dd,0,37,00000000b00000dd,8
1583178870.8032467,0000c044080005424000100000000000,0,550,4000100000000000,8
1583178870.804384,0000206c08004544001f000016000080,0,865,001f000016000080,8
1583178870.8046658,000020320800c044fcffe53064640072,0,401,fcffe53064640072,8
1583178870.8051023,0000004c0800af45000009ffe5fff74d,0,608,000009ffe5fff74d,8
1583178870.8053453,00006068080045460000430000000091,0,835,0000430000000091,8
